month,highTemp,avgTemp,lowTemp,highDew,avgDew,lowDew,highHumid,avgHumid,lowHumid,highSeaPressure,avgSeaPressure,lowSeaPressure,highVisi,avgVisi,lowVisi,highWind,avgWind,lowWind,sum_1,events
Jul,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum, 
1,  35,  30,  25,  23,  19,  16,  79,  51,  32,  1013,  1009,  1003,  10,  5,  3,  19,  10,  -,  0.00,Rain
2,  33,  29,  24,  23,  21,  16,  81,  60,  40,  1013,  1010,  1005,  5,  4,  3,  21,  10,  -,  0.00,	 
3,  36,  31,  26,  22,  18,  13,  67,  45,  30,  1013,  1009,  1004,  10,  5,  3,  23,  11,  -,  0.00,	 
4,  37,  31,  26,  22,  17,  11,  55,  40,  23,  1013,  1008,  1003,  10,  5,  3,  23,  11,  37,  0.00,	 
5,  36,  31,  25,  21,  16,  13,  55,  37,  26,  1011,  1007,  1001,  10,  5,  3,  23,  13,  37,  0.00,	 
6,  36,  30,  24,  21,  17,  12,  57,  39,  26,  1010,  1006,  1001,  10,  6,  3,  23,  13,  37,  0.00,	 
7,  36,  30,  24,  27,  17,  14,  66,  42,  28,  1009,  1005,  999,  10,  5,  3,  23,  11,  -,  0.00,	 
8,  34,  29,  25,  23,  18,  15,  63,  46,  32,  1010,  1006,  1001,  10,  5,  3,  26,  16,  -,  0.00,Rain
9,  33,  29,  26,  22,  19,  15,  63,  49,  32,  1010,  1006,  1001,  6,  4,  3,  29,  14,  -,  0.00,	 
10,  36,  31,  26,  22,  19,  15,  59,  46,  32,  1007,  1003,  998,  10,  5,  3,  23,  11,  29,  0.00,	 
11,  36,  30,  24,  22,  18,  14,  68,  43,  30,  1008,  1005,  1000,  10,  5,  3,  23,  13,  29,  0.00,	 
12,  36,  30,  24,  22,  19,  15,  65,  47,  28,  1010,  1007,  1002,  10,  6,  3,  24,  11,  -,  0.00,	 
13,  36,  31,  27,  23,  19,  15,  62,  42,  30,  1011,  1006,  1000,  10,  6,  3,  23,  8,  -,  0.00,	 
14,  36,  29,  23,  24,  21,  18,  96,  60,  34,  1009,  1005,  1000,  6,  4,  3,  163,  45,  -,  29.97,"Rain
	,
Thunderstorm"
15,  33,  28,  23,  24,  22,  19,  100,  65,  49,  1007,  1004,  999,  6,  5,  3,  24,  10,  -,  0.00,"Rain
	,
Thunderstorm"
16,  33,  29,  24,  24,  19,  16,  79,  54,  41,  1006,  1003,  998,  6,  5,  3,  24,  11,  -,  0.00,	 
17,  34,  29,  24,  23,  20,  18,  75,  58,  41,  1006,  1003,  998,  6,  5,  3,  23,  13,  -,  0.00,	 
18,  33,  28,  23,  24,  21,  17,  92,  60,  43,  1008,  1005,  998,  6,  5,  3,  26,  13,  37,  2.03,Rain
19,  33,  28,  23,  24,  20,  17,  92,  59,  45,  1008,  1004,  999,  6,  5,  3,  34,  14,  -,  0.00,Rain
20,  33,  29,  24,  24,  20,  17,  96,  61,  40,  1006,  1003,  998,  6,  5,  3,  27,  13,  -,  3.05,Rain
21,  32,  28,  23,  25,  20,  18,  95,  60,  43,  1007,  1004,  999,  6,  5,  3,  26,  14,  -,  0.00,Rain
22,  32,  28,  24,  23,  20,  18,  79,  58,  48,  1008,  1005,  1000,  6,  5,  3,  27,  13,  -,  0.00,	 
23,  31,  27,  23,  23,  20,  18,  81,  59,  46,  1009,  1006,  1001,  5,  4,  3,  21,  10,  -,  0.00,Rain
